covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
original_glcm_Autocorrelation,0.774941215502512,2.170464533766289,0.6889341541143946,-0.5753449142812684,2.1252273452862926,0.5625108173290517,8.374801243300483,0.0,1.1248407570948156,0.26065652002335454,1.9397781471432936
original_glcm_ClusterProminence,-1.417664952231365,0.24227909015260926,0.7056217753108129,-2.8006582185477726,-0.03467168591495717,0.060770049484247246,0.9659224901633839,0.0,-2.0091003450211136,0.04452649308305975,4.489192200516107
original_glszm_ZoneEntropy,1.0694561678440813,2.9137944538967817,0.6170948924066382,-0.14002759631654915,2.278939932004712,0.8693342446447769,9.766321954829776,0.0,1.7330497805179645,0.08308682120638808,3.589236527315548
original_gldm_LargeDependenceHighGrayLevelEmphasis,-0.11251995965447266,0.8935795113922277,0.5413597039958752,-1.1735654821676524,0.9485255628587071,0.30926230392358617,2.581900002197698,0.0,-0.20784694321343503,0.8353484775349227,0.25954993091395767
log-sigma-1-0-mm-3D_firstorder_Skewness,0.10037877156674055,1.105589604684089,0.4451558209378744,-0.7721106049798546,0.9728681481133358,0.46203686117971793,2.6455213353855607,0.0,0.22549131527755384,0.8215970808219036,0.28349703919430796
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,-0.18671517098442672,0.8296800196768832,0.407280075117955,-0.9849694498363863,0.611539107867533,0.3734506357404131,1.8432662022016775,0.0,-0.45844415769750324,0.6466333731619518,0.6289801270881197
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,-0.36072069407710744,0.6971736960181002,0.5633194149681574,-1.4648064592068695,0.7433650710526545,0.23112271882321914,2.1030003666204213,0.0,-0.6403484142251653,0.5219461120091571,0.938027230525777
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.16277293319151512,1.176769454065188,0.5176542374282499,-0.8518107286124008,1.177356594995431,0.4266416997701634,3.2457829339393696,0.0,0.31444335122259376,0.753184335072878,0.40892510017644607
log-sigma-3-0-mm-3D_glszm_GrayLevelVariance,2.4547801655546784,11.64387354301932,1.0368541448704442,0.42258338438753196,4.486976946721825,1.5258984504065798,88.8524338232991,0.0,2.3675269831335872,0.017907414175517236,5.8032991620818075
log-sigma-5-0-mm-3D_glcm_ClusterShade,-0.10730439509885019,0.8982522078020992,0.3792267630976402,-0.8505751927439281,0.6359664025462278,0.4271691566720773,1.888846645921914,0.0,-0.2829557550800346,0.7772107538200516,0.36362223208102973
log-sigma-5-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,-0.148790238669672,0.8617498577384355,0.4141444377038544,-0.9604984209668187,0.6629179436274747,0.38270209168458347,1.9404461941751354,0.0,-0.35927136796672043,0.7193920914752739,0.4751497953697515
wavelet-LHL_glcm_Imc1,-1.385585069632132,0.2501773857736125,0.624160714129007,-2.608917589889786,-0.16225254937447775,0.07361418138918667,0.8502264532647877,0.0,-2.2199171435607963,0.026424392553381845,5.241985882605611
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,-0.47810278281618523,0.619958472629431,0.49758789188344343,-1.4533571300509447,0.4971515644185742,0.23378412549398225,1.6440316765430265,0.0,-0.9608408697536747,0.3366321855183475,1.5707549750589012
wavelet-LHH_glcm_Imc1,1.090570087485755,2.975970152402049,0.7094212422658422,-0.29986999722296037,2.48101017219447,0.7409145353681408,11.95333324590179,0.0,1.5372673138494553,0.12422786227459294,3.0089393121718984
wavelet-LHH_glszm_ZoneEntropy,0.6920975429243326,1.997901826082566,0.6928231872947537,-0.665810951827633,2.0500060376762983,0.5138566457078911,7.767948006520751,0.0,0.9989526268985677,0.3178176405588188,1.6537288907786205
wavelet-HLL_firstorder_Minimum,-0.5972390391848519,0.5503289772119856,0.7963679599803917,-2.1580915591880547,0.963613480818351,0.1155454223548419,2.6211508598678708,0.0,-0.7499536259589816,0.4532826351587026,1.1415172009263854
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.08633917739260379,1.0901760286674644,0.7420189521952335,-1.367991244756202,1.5406695995414097,0.25461791125693334,4.667714724444002,0.0,0.11635710535043986,0.907369529385209,0.14023788190683423
wavelet-HLH_glcm_Imc1,-0.7818070127742218,0.4575784137518862,0.4825850497893087,-1.7276563298387357,0.1640423042902921,0.17770039342517832,1.1782641596674464,0.0,-1.6200398522821005,0.10522371643043557,3.2484681837899076
wavelet-HHH_glszm_SmallAreaEmphasis,-0.6844140360371228,0.5043856948409399,0.4744166751181417,-1.61425363293392,0.24542556085967449,0.19903917129816812,1.2781651345356018,0.0,-1.4426432963526978,0.14912098018416062,2.745444846801173
wavelet-HHH_glszm_ZoneEntropy,-1.2490068550910653,0.286789478982478,0.675212188401566,-2.5723984262806083,0.07438471609847763,0.07635220051787679,1.077221150106655,0.0,-1.849799035837678,0.06434251989024897,3.958083751421991
wavelet-LLL_glszm_GrayLevelVariance,-0.5273281405364695,0.5901797422855817,0.7681737626376078,-2.032921049174801,0.978264768101862,0.13095244339967635,2.6598368015265033,0.0,-0.6864698668252235,0.49241685986725126,1.0220479357651142
wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.11899517673959968,1.1263644855260317,0.4487064723443396,-0.7604533486853237,0.998443702164523,0.467454459101371,2.71405466255098,0.0,0.26519603365177713,0.7908584502377278,0.3385085941390553
