Feature,P-value
original_glcm_Autocorrelation,0.0005037352236422854
original_glcm_ClusterProminence,0.00321879621014343
original_glszm_ZoneEntropy,1.2351683110878932e-09
original_gldm_LargeDependenceHighGrayLevelEmphasis,1.478445859963932e-07
log-sigma-1-0-mm-3D_firstorder_Skewness,1.363318497815814e-05
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,8.130232638183274e-06
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,2.3098675237828398e-05
log-sigma-3-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.4900216979258364
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.00010820676705100854
log-sigma-3-0-mm-3D_glszm_GrayLevelVariance,3.258346227658926e-06
log-sigma-4-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.3097450404516764
log-sigma-5-0-mm-3D_glcm_ClusterShade,0.00224682023025024
log-sigma-5-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.09865940131295775
wavelet-LHL_glcm_Imc1,2.3310880684995744e-08
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.11995015595576757
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.032209626900759174
wavelet-LHH_glcm_Imc1,1.0697402686468648e-07
wavelet-LHH_glcm_Imc2,0.2759997433103475
wavelet-LHH_glszm_ZoneEntropy,1.1703267343599702e-08
wavelet-HLL_firstorder_Minimum,7.771432725195029e-05
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.061736339398598926
wavelet-HLH_glcm_Imc1,2.5593580637834623e-06
wavelet-HHH_glszm_SmallAreaEmphasis,6.671986307967584e-10
wavelet-HHH_glszm_ZoneEntropy,4.6514790424103057e-11
wavelet-LLL_glszm_GrayLevelVariance,0.0030919575088470927
wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.01287347946251967
